high	18	(9,6,46,39,38,37,35,34,30,29,23,20,19,18,16,13,12,0)
education	18	(9,7,6,46,39,38,37,35,30,23,21,20,18,17,16,13,12,0)
nyc	18	(9,7,6,46,39,38,37,35,34,30,29,23,18,17,16,13,12,0)
lower	18	(9,6,46,39,38,37,35,34,30,29,23,19,18,16,13,12,10,0)
justice	18	(9,7,6,41,39,38,37,35,34,30,23,19,18,16,13,12,1,0)
harlem	18	(9,7,6,46,39,38,35,34,30,29,23,19,18,16,13,12,10,0)
public	18	(9,7,6,46,39,38,37,35,34,30,23,2,18,17,16,13,12,0)
low	18	(9,7,6,46,39,38,37,35,34,30,29,23,19,18,16,13,12,0)
west	18	(9,6,46,39,38,35,34,30,29,23,22,19,18,16,13,12,10,0)
university	18	(9,7,6,46,39,38,35,34,30,23,19,18,17,16,13,12,10,0)
north	18	(9,8,7,6,46,39,38,35,34,30,29,23,19,18,16,13,10,0)
fordham	17	(9,6,46,39,38,35,34,30,23,22,19,18,16,13,12,10,0)
bridge	17	(9,6,46,39,38,37,35,34,30,29,23,19,18,16,13,10,0)
john	17	(6,46,39,38,35,34,30,29,23,20,19,18,16,13,12,1,0)
thomas	17	(9,6,46,39,38,35,34,30,24,23,19,18,16,13,10,1,0)
long	17	(9,7,6,46,39,38,37,35,34,29,23,19,18,16,12,10,0)
hill	17	(9,6,46,39,38,35,34,30,23,22,19,18,16,13,12,10,0)
george	17	(9,6,46,39,38,35,34,30,29,23,20,19,18,16,13,1,0)
henry	17	(9,6,46,39,38,35,34,30,29,23,19,18,16,13,10,1,0)
square	17	(9,6,46,39,38,37,35,34,30,29,23,19,18,16,13,10,0)
lincoln	17	(9,6,46,39,38,35,34,30,29,23,19,18,16,13,10,1,0)
beach	17	(9,6,46,39,38,35,34,30,29,23,22,19,18,16,13,12,0)
richmond	17	(9,7,6,46,39,38,37,35,34,30,24,23,19,18,16,13,0)
forest	17	(9,6,46,39,38,35,34,30,29,23,19,18,16,13,12,10,0)
middle	17	(9,6,46,39,38,37,35,34,30,23,20,19,18,16,13,12,0)
