sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Grade,Year,Category,Number Tested,Mean Scale Score,Level1_N,Level1_%,Level2_N,Level2_%,Level3_N,Level3_%,Level4_N,Level4_%,Level3+4_N,Level3+4_%
12,BBE77446-B64B-4F35-891A-3459DD2B3D1B,12,1506350237,1005242,1506350237,1005242,,5,2017,Current ELL,7815,263,6018,77.0,1590,20.3,188,2.4,19,0.2,207,2.6
13,46CB3D14-878D-4F6F-BBEC-B6B71F259C28,13,1506350237,1005242,1506350237,1005242,,6,2014,Current ELL,8300,263,5879,70.8,2288,27.6,109,1.3,24,0.3,133,1.6
14,E3734164-EDB8-437F-9A0F-8ABF4DD7AC46,14,1506350237,1005242,1506350237,1005242,,6,2015,Current ELL,7315,263,5420,74.1,1708,23.3,143,2.0,44,0.6,187,2.6
15,BE2AA670-1743-49FD-BECB-66609B4A41A3,15,1506350237,1005242,1506350237,1005242,,6,2016,Current ELL,6985,263,4952,70.9,1852,26.5,156,2.2,25,0.4,181,2.6
16,EA760E5C-F6E0-4C05-B382-A52A84C37BDB,16,1506350237,1005242,1506350237,1005242,,6,2017,Current ELL,7049,261,5333,75.7,1597,22.7,95,1.3,24,0.3,119,1.7
17,2F7C8865-7D48-41D0-97D8-31F2407EB56D,17,1506350237,1005242,1506350237,1005242,,7,2014,Current ELL,6998,259,5696,81.4,1190,17.0,103,1.5,9,0.1,112,1.6
18,AA89BDC4-53EF-40C8-B72E-E77C3D7D3A90,18,1506350237,1005242,1506350237,1005242,,7,2015,Current ELL,7209,259,5875,81.5,1227,17.0,106,1.5,1,0.0,107,1.5
19,9CF4C93B-CB80-4BDE-AF67-185076EEDC07,19,1506350237,1005242,1506350237,1005242,,7,2016,Current ELL,6479,266,4957,76.5,1457,22.5,61,0.9,4,0.1,65,1.0
20,738079B5-B529-4CA6-B9E6-64842767066C,20,1506350237,1005242,1506350237,1005242,,7,2017,Current ELL,6795,271,4375,64.4,2242,33.0,171,2.5,7,0.1,178,2.6
21,148C84E4-A5B8-4700-976F-B5E93500F118,21,1506350237,1005242,1506350237,1005242,,8,2014,Current ELL,7120,256,5716,80.3,1306,18.3,93,1.3,5,0.1,98,1.4
22,D5F79400-9B1C-4A47-BFB2-5172EE869516,22,1506350237,1005242,1506350237,1005242,,8,2015,Current ELL,6712,260,5018,74.8,1543,23.0,143,2.1,8,0.1,151,2.2
23,71CD0B38-3B6E-47AA-BCE2-A3EA815EAD68,23,1506350237,1005242,1506350237,1005242,,8,2016,Current ELL,6671,266,4811,72.1,1729,25.9,129,1.9,2,0.0,131,2.0
24,0C441C81-8F7D-4139-B73A-D46BEF7B3479,24,1506350237,1005242,1506350237,1005242,,8,2017,Current ELL,6539,269,4268,65.3,2038,31.2,216,3.3,17,0.3,233,3.6
25,506009D9-94C3-4BB8-A268-1C8EFF044FD2,25,1506350237,1005242,1506350237,1005242,,All Grades,2014,Current ELL,49489,264,36434,73.6,11254,22.7,1635,3.3,166,0.3,1801,3.6
26,D66A8BD4-9F15-4CC5-A700-0DDD4796B7FC,26,1506350237,1005242,1506350237,1005242,,All Grades,2015,Current ELL,47510,265,34472,72.6,10946,23.0,1854,3.9,238,0.5,2092,4.4
27,28F4982A-4EE1-4B6D-8825-5D73C2508E2F,27,1506350237,1005242,1506350237,1005242,,All Grades,2016,Current ELL,45507,270,31441,69.1,12049,26.5,1866,4.1,151,0.3,2017,4.4
28,315461F9-6AF0-439B-A93C-8D01E3353448,28,1506350237,1005242,1506350237,1005242,,All Grades,2017,Current ELL,48169,271,31515,65.4,13942,28.9,2530,5.3,182,0.4,2712,5.6
29,5BF54090-550A-46D2-8C57-4160A9937A37,29,1506350237,1005242,1506350237,1005242,,3,2014,Ever ELL,7818,303,2196,28.1,3108,39.8,2272,29.1,242,3.1,2514,32.2
