domain_name,domain_registration_date,nexus_category
imusic.nyc,2017-01-26T02:29:37.000,ORG
dude.nyc,2017-01-16T23:18:34.000,INDIV
abortionpillsnyc.nyc,2014-10-03T15:52:06.000,ORG
amtrak.nyc,2016-03-11T17:54:50.000,INDIV
richpalate.nyc,2016-04-29T20:00:28.000,INDIV
xcitesus.nyc,2016-12-27T00:55:32.000,ORG
party.nyc,2016-10-03T17:09:32.000,ORG
artnetting.nyc,2015-03-17T03:06:08.000,ORG
syndrome.nyc,2016-05-18T00:20:52.000,ORG
cooney.nyc,2014-10-09T15:05:00.000,INDIV
tribecatherapy.nyc,2014-10-09T14:01:14.000,INDIV
5boroughbeer.nyc,2016-05-21T18:41:50.000,ORG
bikeaccidents.nyc,2014-10-03T15:34:52.000,ORG
accor.nyc,2016-04-14T16:17:04.000,ORG
inthelab.nyc,2014-11-05T15:45:48.000,ORG
hondanyc.nyc,2014-10-09T01:20:36.000,INDIV
newyorkjobdiscriminationlawyer.nyc,2015-06-23T17:01:38.000,ORG
menorahparade.nyc,2014-11-28T01:56:56.000,ORG
jfisher.nyc,2016-11-17T15:31:39.000,INDIV
3dmedia.nyc,2016-08-29T19:11:53.000,INDIV
stranger.nyc,2018-02-25T22:56:46.000,INDIV
human.nyc,2018-02-25T18:38:11.000,ORG
meyowyow.nyc,2015-04-05T18:59:01.000,ORG
coinbase.nyc,2018-02-25T00:49:46.000,INDIV
alea.nyc,2016-08-08T03:13:05.000,INDIV
delacruz.nyc,2015-12-07T17:08:36.000,ORG
top200idfootball.nyc,2016-03-04T00:23:58.000,INDIV
70charlton.nyc,2014-10-14T17:46:18.000,ORG
simonsny.nyc,2014-10-08T15:00:43.000,ORG
gala.nyc,2014-10-03T15:55:12.000,INDIV
airexmarket.nyc,2015-01-20T19:53:27.000,ORG
necklift.nyc,2014-10-12T15:54:02.000,ORG
bitcoinclub.nyc,2015-02-02T21:25:10.000,ORG
whocaresclothing.nyc,2014-10-03T15:45:00.000,INDIV
kettlecafe.nyc,2015-03-21T12:29:18.000,INDIV
troymc.nyc,2015-05-21T22:42:08.000,INDIV
paintciti.nyc,2017-02-14T21:46:07.000,ORG
rdc.nyc,2017-05-23T21:05:55.000,ORG
handsthatmold.nyc,2016-03-09T02:08:43.000,INDIV
nycdrones.nyc,2017-01-25T02:34:45.000,ORG
brunogroup.nyc,2018-02-25T15:40:52.000,ORG
petproject.nyc,2017-06-02T17:18:57.000,INDIV
christinakw.nyc,2016-03-14T05:17:12.000,INDIV
musicproducers.nyc,2014-10-03T15:32:25.000,INDIV
ultrasonicrhinoplasty.nyc,2016-09-12T09:29:44.000,INDIV
arethusa.nyc,2014-10-03T15:45:12.000,INDIV
broadwaytheatres.nyc,2014-10-08T15:01:19.000,ORG
firstnationwidetitle.nyc,2014-11-12T15:09:15.000,ORG
litepay.nyc,2018-02-25T00:49:55.000,INDIV
jonathanhcamacho.nyc,2014-10-22T00:56:10.000,INDIV
computertechnologysolutions.nyc,2015-03-09T07:23:03.000,INDIV
hartcreative.nyc,2016-04-16T13:23:36.000,INDIV
emergencypassport.nyc,2014-10-24T16:28:04.000,INDIV
elizabethstreet.nyc,2014-10-03T15:38:39.000,INDIV
structuredsettlement.nyc,2014-11-03T02:07:46.000,INDIV
nycdebates.nyc,2014-10-02T20:44:35.000,ORG
hellgatepost.nyc,2014-11-09T19:12:50.000,ORG
urus.nyc,2015-03-03T17:28:09.000,ORG
codycowan.nyc,2014-10-10T18:46:21.000,INDIV
bouklaslaw.nyc,2014-10-03T15:39:55.000,ORG
newyorkfloors.nyc,2015-05-04T02:01:09.000,ORG
pizzaplacesin.nyc,2018-02-25T21:45:42.000,INDIV
group-portrait.nyc,2014-10-03T15:36:37.000,ORG
crozierfinearts.nyc,2014-10-03T15:42:42.000,ORG
oracleprivatejets.nyc,2015-04-07T02:53:33.000,ORG
mpt.nyc,2014-12-13T17:41:01.000,ORG
ozmanagement.nyc,2014-10-08T18:06:57.000,ORG
hospitalityconceptsandsolutions.nyc,2015-04-06T15:19:26.000,ORG
pensrus.nyc,2014-10-08T21:06:54.000,ORG
starman.nyc,2015-06-30T18:30:27.000,ORG
decorativeartsarea.nyc,2014-10-08T17:04:07.000,ORG
bldg77.nyc,2014-10-08T18:56:48.000,ORG
xxxi.nyc,2015-08-25T19:05:21.000,ORG
dea.nyc,2014-11-07T03:24:47.000,ORG
bestburgersin.nyc,2018-02-25T21:55:22.000,ORG
playusa.nyc,2015-06-05T16:14:21.000,ORG
tribecafilm.nyc,2014-10-03T15:40:47.000,INDIV
firealarms.nyc,2014-10-22T17:30:59.000,INDIV
jigme.nyc,2018-02-25T01:47:30.000,INDIV
tjjackson.nyc,2018-02-25T06:19:52.000,INDIV
mintwood.nyc,2018-02-25T23:41:31.000,INDIV
efficiensuite.nyc,2016-02-01T17:29:02.000,ORG
rubell.nyc,2015-03-31T01:20:16.000,INDIV
bogdani.nyc,2014-10-08T15:01:37.000,INDIV
sheerstrides.nyc,2017-03-12T03:31:33.000,ORG
monitoring.nyc,2014-10-12T04:11:02.000,INDIV
greencpa.nyc,2016-02-06T01:23:00.000,INDIV
curriculum.nyc,2014-10-26T19:08:59.000,ORG
kafana.nyc,2014-11-07T21:14:51.000,INDIV
megarealtygroup.nyc,2017-07-14T21:16:31.000,ORG
mascreative.nyc,2017-04-17T20:58:38.000,ORG
rhythm.nyc,2014-10-08T15:00:07.000,INDIV
elmorejames.nyc,2015-02-04T19:01:49.000,INDIV
aidenlee.nyc,2014-12-26T17:29:24.000,INDIV
cryobody.nyc,2016-04-27T13:22:51.000,INDIV
mypeace.nyc,2014-10-13T04:49:27.000,INDIV
secondtrimesterabortion.nyc,2014-10-03T15:54:55.000,ORG
blueexpressions.nyc,2015-07-24T00:22:09.000,INDIV
createbuzz.nyc,2014-10-08T15:00:52.000,INDIV
outskirts.nyc,2014-10-08T15:00:27.000,ORG
jacobgold.nyc,2014-11-08T23:40:55.000,INDIV
decorativearts.nyc,2014-10-08T17:04:28.000,ORG
mtaylor.nyc,2016-08-10T14:49:33.000,INDIV
modernbuilt.nyc,2014-10-18T21:21:05.000,INDIV
playboy.nyc,2014-10-08T15:00:04.000,INDIV
389.nyc,2016-10-30T00:44:09.000,INDIV
varickmm.nyc,2014-10-03T15:39:20.000,ORG
aps.nyc,2014-10-10T17:39:28.000,ORG
muldoonbrittonus.nyc,2015-06-13T23:05:16.000,ORG
rail.nyc,2014-10-09T02:05:45.000,INDIV
wigsof.nyc,2018-02-25T15:47:08.000,INDIV
handcrafted.nyc,2014-10-17T16:59:11.000,INDIV
rgrennie.nyc,2014-10-08T15:01:00.000,INDIV
bayridgehomes.nyc,2014-10-27T18:27:46.000,INDIV
sasson.nyc,2015-04-05T17:29:27.000,INDIV
truthvalues.nyc,2014-10-11T17:03:46.000,ORG
seeit.nyc,2016-06-18T03:43:10.000,INDIV
ryangomez.nyc,2014-10-09T14:06:38.000,INDIV
7four7.nyc,2016-01-19T15:33:39.000,INDIV
octapoda.nyc,2016-09-06T20:48:12.000,ORG
rosepolidoro.nyc,2014-10-03T15:35:21.000,INDIV
imax.nyc,2014-10-03T15:53:26.000,ORG
bestchinesefoodin.nyc,2018-02-25T21:55:22.000,ORG
soof.nyc,2014-10-10T13:31:33.000,INDIV
ofcourse.nyc,2014-12-22T20:55:22.000,INDIV
katespadesaturday.nyc,2014-06-20T15:12:09.000,ORG
