acronym,co2e_mt_calculated,finishdateactual,primaryprojecttype,projectsiteaddress,projectsitename,projectstatus,startdateactual,subtype
DCLA,539.56,,Lighting System Upgrade,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",Bronx Zoo,Design,,Retrofit
DCLA,6026.93,,Other,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",Bronx Zoo,Design,,Retrofit
BPL,832.88,,HVAC System Upgrade,10 Grand Army Plaza,Central Building,Design,,Retrofit
BPL,,31-Dec-11,Energy Audit,10 Grand Army Plaza,Central Building,Completed,27-Jan-11,None
DCAS,892.02,,Other,BETWEEN BROADWAY & PARK ROW,City Hall,Design,,Cogen
DCAS,617.90,06-Dec-11,Energy Audit,60 Centre Street New York NY,Manhattan Supreme Court,Completed,01-Jun-11,None
DCAS,,14-Dec-11,Energy Audit,280 Broadway,Sun Building,Completed,16-Aug-11,None
DCAS,,14-Dec-11,Energy Audit,2510 Thompson Avenue,Long Island City Courthouse,Completed,16-Aug-11,None
DCAS,,12-Dec-11,Energy Audit,89-17 Sutphin Boulevard,Queens Civil Court,Completed,16-Aug-11,None
DCAS,,14-Dec-11,Energy Audit,80 Centre Street,Louis J Lefkowitz Building,Completed,16-Aug-11,None
DCAS,,06-Mar-12,Energy Audit,111 Centre Street,Manhattan Civil Court,Completed,16-Aug-11,None
DCAS,69.66,19-Jan-12,Energy Audit,133-137 Centre Street,Excelsior Building,Completed,16-Aug-11,None
DCAS,-354.98,12-Dec-11,Energy Audit,125 Worth Street,Health Building,Completed,16-Aug-11,None
DCAS,,12-Dec-11,Energy Audit,215 East 161st Street,Bronx Family & Criminal Court,Completed,16-Aug-11,None
DCAS,1400.19,04-Sep-12,Energy Audit,215 East 161st Street,Staten Island Borough Hall,Completed,18-Jul-12,None
DCAS,,,Energy Audit,88-11 Sutphin Blvd,Queens Supreme Court,Completed,,None
DCAS,,,Energy Audit,60 Lafayette Street,Manhattan Family Court,Completed,,None
DCAS,42.87,,Energy Audit,165 Cadman Plaza East,Office of Energy Management Headquarters,Completed,,None
DCAS,,,Comprehensive,1118 Grand Concourse,Bronx Housing Court,Design,,Retrofit
DCAS,,24-May-11,Energy Audit,1118 Grand Concourse,Bronx Housing Court,Completed,14-Feb-11,None
DCAS,314.72,,Comprehensive,198 East 161st Street,Bronx Concourse Plaza,Design,,Retrofit
DCAS,314.72,28-Jun-11,Energy Audit,198 East 161st Street,Bronx Concourse Plaza,Completed,14-Feb-11,None
DCAS,153.01,,Comprehensive,1932 Arthur Avenue Bronx NY,Bronx Bergen Building,Design,,Retrofit
DCAS,153.01,30-Jun-11,Energy Audit,1932 Arthur Avenue Bronx NY,Bronx Bergen Building,Completed,14-Feb-11,None
DCAS,627.89,,Comprehensive,"130 Stuyvesant Pl, Staten Island",Mark A. Constantino Judicial Center,Design,,Retrofit
DCAS,627.89,05-Jul-11,Energy Audit,"130 Stuyvesant Pl, Staten Island",Mark A. Constantino Judicial Center,Completed,04-Feb-11,None
,,,Energy Audit,,,Completed,,None
DCLA,0.00,,Energy Audit,200 Eastern Parkway,Brooklyn Museum,Completed,,None
DHS,0.00,15-Feb-12,Energy Audit,500 1st Avenue,Bellevue Men's Shelter,In Progress,30-Sep-11,None
DHS,0.00,,Energy Audit,2720 Broadway,Regent Hotel Shelter,In Progress,,None
DHS,0.00,15-Feb-12,Energy Audit,1122 Franklin Avenue,Franklin Women's Shelter,In Progress,26-Oct-11,None
DHS,121.72,15-Aug-12,Energy Audit,1322 Bedford Avenue,Atlantic Avenue Men's Shelter (Armory),Completed,23-Dec-11,None
DHS,,,Energy Audit,346 Powers Avenue, PATH Office,Completed,,None
DHS,342.94,06-Feb-12,Energy Audit,216 Fort Washington Avenue New York NY,Fort Washington Armory Shelter,Completed,26-Sep-11,None
DHS,84.54,15-May-12,Energy Audit,21-10 Borden Avenue,Borden Avenue Shelter,In Progress,15-Feb-12,None
,220.79,30-Jun-12,Energy Audit,,,Completed,15-Feb-12,None
DOC,,,Lighting System Upgrade,125 White St,Manhattan Detention Complex (Bernard B. Kerik Complex),Design,,Retrofit
DOC,,30-Jun-11,Energy Audit,125 White St,Manhattan Detention Complex (Bernard B. Kerik Complex),Completed,02-Feb-11,None
DOC,,,Comprehensive,09-09 Hazen St,George R. Vierno Center,Design,12-Apr-11,Retrofit
DOC,0.00,30-Jun-11,Energy Audit,09-09 Hazen St,George R. Vierno Center,Completed,09-Feb-11,None
DOC,2021.92,,Comprehensive,16-16 Hazen St.,Otis Bantun Correctional Facility,Design,,Retrofit
DOC,2021.92,30-Jun-11,Energy Audit,16-16 Hazen St.,Otis Bantun Correctional Facility,Completed,09-Feb-11,None
,,,Energy Audit,,,Completed,,None
,,,Energy Audit,,,Completed,,None
,,,Energy Audit,,,Completed,,None
,,,Energy Audit,,,Completed,,None
DSNY,526.73,,Comprehensive,120-15 31st Ave. Queens NY,Queens 7 District Garage Annex,Design,,Retrofit
DSNY,526.73,29-Jun-12,Energy Audit,120-15 31st Ave. Queens NY,Queens 7 District Garage Annex,Completed,06-Feb-12,None
DSNY,259.46,,Comprehensive,South Street &Pier 36 New York NY 10002,Manhattan 3 Garage,Design,,Retrofit
DSNY,259.46,15-Jun-12,Energy Audit,South Street &Pier 36 New York NY 10002,Manhattan 3 District Garage,Completed,06-Feb-12,None
DSNY,60.80,,Comprehensive,1635 East 233rd St. Bronx NY,Bronx 12 District Garage,Design,,Retrofit
DSNY,60.80,21-Jun-12,Energy Audit,1635 East 233rd St. Bronx NY,Bronx 12 District Garage,Completed,06-Feb-12,None
DSNY,834.97,,Energy Audit,1824 Shore Parkway Brooklyn NY,Brooklyn  11,Completed,,None
DSNY,0.00,10-May-11,Energy Audit,105-02 Avenue,Cioffe Borough Repair Shop,Completed,24-Jan-11,None
DSNY,264.60,,Comprehensive,2 Muldoon Ave Staten Island,Staten Island 3 District,Design,,Retrofit
DSNY,264.60,10-May-11,Energy Audit,600 West Service Rd,Fresh Kills Landfill - SI 3 DG; RBS,Completed,20-Jan-11,None
