bbl,bin,block_lot,borough,census_tract,cnadrprf_addrline1,cnadrprf_addrline2,cnadrprf_city,cnadrprf_state,cnadrprf_zip,cnbio_org_name,community_board,council_district,latitude,longitude,nta,primary,secondary
1000640016,1001088,64-16,MANHATTAN,1502,170 Broadway,,New York,NY,10038,Sprint,1,1,40.709669,-74.010092,Battery Park City-Lower Manhattan                                          ,Shopping,S-Cellular Phones
1000640002,1001080,64-2,MANHATTAN,1502,22 Maiden Lane,,New York,NY,10038,22 Thai Cuisine,1,1,40.709194,-74.009046,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Thai
1000640020,1001089,64-20,MANHATTAN,1502,8 Maiden Lane,,New York,NY,10038,Alfanoose Restaurant,1,1,40.709619,-74.009609,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Middle Eastern
1000640024,1001092,64-24,MANHATTAN,1502,18 Maiden Lane,,New York,NY,10038,Sushi a La kawa,1,1,40.709378,-74.009248,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Japanese
1000640025,1001093,64-25,MANHATTAN,1502,10 Liberty Place,,New York,NY,10038,Win Won Chinese,1,1,40.709092,-74.009338,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Chinese
1000640004,1001081,64-4,MANHATTAN,1502,55 Nassau Street,,New York,NY,10038,Jou Jou Cafe,1,1,40.709021,-74.008934,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Cafe & Eatery
1000640004,1001081,64-4,MANHATTAN,1502,24 Maiden Lane,,New York,NY,10038,Elysium Hair Salon,1,1,40.709136,-74.008989,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Hair Salon & Barber Shop
1000640004,1001081,64-4,MANHATTAN,1502,24 Maiden Lane,2nd Floor,New York,NY,10038,Ann's Nails,1,1,40.709136,-74.008989,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Nail Salon
1000640004,1001081,64-4,MANHATTAN,1502,55 Nassau Street,,New York,NY,10038,55 Nassau Shoe Repair,1,1,40.709021,-74.008934,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Shoe Repair/Shine
1000640005,1001082,64-6,MANHATTAN,1502,53 Nassau Street,,New York,NY,10038,Diwan E. Khaas,1,1,40.708974,-74.008985,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Indian
1000640008,1001084,64-8,MANHATTAN,1502,55 Liberty Street,,New York,NY,10005,The Greene Grape,1,1,40.708692,-74.009508,Battery Park City-Lower Manhattan                                          ,Shopping,S-Liquor Store
1000640008,1001084,64-8,MANHATTAN,1502,55 Liberty Street,,New York,NY,10005,Pound & Pence,1,1,40.708692,-74.009508,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-Restaurant & Bar
1000640008,1001084,64-8,MANHATTAN,1502,47 Nassau Street,,New York,NY,10038,101 Newsstand,1,1,40.708821,-74.009158,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Newsstands
1000640008,1001084,64-8,MANHATTAN,1502,55 Liberty Street,,New York,NY,10005,Starbucks Coffee,1,1,40.708692,-74.009508,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Coffeehouse
1000650010,1001098,65-10,MANHATTAN,1502,9-11 Maiden Lane,,New York,NY,10038,Maiden Heaven Gourmet,1,1,40.709606,-74.009555,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
1000650010,1001098,65-10,MANHATTAN,1502,9 Maiden Lane,,New York,NY,10038,Baoguette,1,1,40.709606,-74.009555,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Vietnamese
1000657501,1001106,65-1001,MANHATTAN,1502,28 John Street,,New York,NY,10038,Daniella Helene,1,1,40.709685,-74.00865,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Hair Salon & Barber Shop
1000657501,1001106,65-1001,MANHATTAN,1502,65 Nassau Street,,New York,NY,10038,Health King,1,1,40.70935,-74.00861,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Health
1000657501,1001106,65-1001,MANHATTAN,1502,65 Nassau Street,,New York,NY,10038,JD Candy News,1,1,40.70935,-74.00861,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Newsstands
1000657501,1001106,65-1001,MANHATTAN,1502,30 John Street,,New York,NY,10038,The Tie Gallery,1,1,40.709644,-74.008595,Battery Park City-Lower Manhattan                                          ,Shopping,S-Apparel: Men's
1000657501,1001106,65-1001,MANHATTAN,1502,67 Nassau Street,,New York,NY,10038,Golden Nugget Jewelers,1,1,40.709405,-74.008552,Battery Park City-Lower Manhattan                                          ,Shopping,S-Jeweler
1000650016,1001099,65-16,MANHATTAN,1502,174 Broadway,,New York,NY,10038,The Vitamin Shoppe,1,1,40.70988,-74.009912,Battery Park City-Lower Manhattan                                          ,Shopping,S-Nutrition & Health
,,65-17,,,5 Maiden Lane,,New York,NY,,Downtown Eyebrow Threading,,,,,,Personal and Professional Services,P-Eyebrows
1000650017,1001100,65-17,MANHATTAN,1502,176 Broadway,,New York,NY,10038,Capital One Bank,1,1,40.709932,-74.009869,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Banks and Check Cashing
1000650017,1001100,65-17,MANHATTAN,1502,3 Maiden Lane,,New York,NY,10038,Chameleon Comics,1,1,40.709718,-74.009768,Battery Park City-Lower Manhattan                                          ,Shopping,S-Bookstores
1000650017,1001100,65-17,MANHATTAN,1502,7 Maiden Lane,,New York,NY,10038,Tower Art Gallery,1,1,40.709647,-74.009623,Battery Park City-Lower Manhattan                                          ,Shopping,"S-Framing, Posters & Art Supplies"
1000650017,1001100,65-17,MANHATTAN,1502,176 Broadway,,New York,NY,10038,William Barthman Jewelers,1,1,40.709932,-74.009869,Battery Park City-Lower Manhattan                                          ,Shopping,S-Jeweler
1000650017,1001100,65-17,MANHATTAN,1502,176 Broadway,,New York,NY,10038,"Digi Prints, Inc.",1,1,40.709932,-74.009869,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Film Developing
1000657502,1001102,65-18,MANHATTAN,1502,180 Broadway,,New York,NY,10038,Cafe Toda,1,1,40.710037,-74.009779,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
1000657502,1001102,65-19,MANHATTAN,1502,2 John Street,,New York,NY,10038,S&M Universal Jewelery,1,1,40.710201,-74.009382,Battery Park City-Lower Manhattan                                          ,Shopping,S-Jeweler
1000657502,1001102,65-19,MANHATTAN,1502,10 John Street,,New York,NY,10038,Tokyo Lunch,1,1,40.710042,-74.009158,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Japanese
1000657502,1001102,65-19,MANHATTAN,1502,2 John Street,,New York,NY,10038,Discount Fragrances,1,1,40.710201,-74.009382,Battery Park City-Lower Manhattan                                          ,Shopping,S-Beauty & Fragrances
1000657502,1001102,65-19,MANHATTAN,1502,182 Broadway,Lower Level,New York,NY,10038,Burger King,1,1,40.710089,-74.009735,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Fast Food
1000657502,1001102,65-19,MANHATTAN,1502,182 Broadway,,New York,NY,10007,Easy Spirit,1,1,40.710089,-74.009735,Battery Park City-Lower Manhattan                                          ,Shopping,S-Shoes: Women's
,,65-19,,,2 John Street,,New York,NY,,Harry's Convenience Store,,,,,,Personal and Professional Services,P-Newsstands
1000657501,1001106,65-2,MANHATTAN,1502,65 Nassau Street,,New York,NY,10038,5 Star Gift Shop,1,1,40.70935,-74.00861,Battery Park City-Lower Manhattan                                          ,Shopping,S-Beauty & Fragrances
1000650020,1001103,65-20,MANHATTAN,1502,12 John Street,,New York,NY,10038,Nu Way Shoe Repair,1,1,40.710004,-74.0091,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Shoe Repair/Shine
1000650020,1001103,65-20,MANHATTAN,1502,12 John Street,,New York,NY,10038,Cellular Plus,1,1,40.710004,-74.0091,Battery Park City-Lower Manhattan                                          ,Shopping,S-Cellular Phones
1000650020,1001103,65-20,MANHATTAN,1502,12 John Street,,New York,NY,10038,Maggies Cajun,1,1,40.710004,-74.0091,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Cajun
1000650022,1001104,65-22,MANHATTAN,1502,20 John Street,,New York,NY,10038,It's A Pizza,1,1,40.709845,-74.008877,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Pizza
1000650022,1001104,65-22,MANHATTAN,1502,20 John Street,,New York,NY,10038,Roxy Coffee Shop,1,1,40.709845,-74.008877,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-Diner
1000650004,1001095,65-4,MANHATTAN,1502,59 Nassau Street,,New York,NY,10038,Mini Centro,1,1,40.70918,-74.008776,Battery Park City-Lower Manhattan                                          ,Shopping,S-Shoes: Women's
1000650004,1001095,65-4,MANHATTAN,1502,25 Maiden Lane,,New York,NY,10038,Jacob's Shoe Repair,1,1,40.709145,-74.00897,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Shoe Repair/Shine
1000650004,1001095,65-4,MANHATTAN,1502,25 Maiden Lane,2nd Floor,New York,NY,10038,Candy Nail Salon,1,1,40.709145,-74.00897,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Nail Salon
1000650004,1001095,65-4,MANHATTAN,1502,59 Nassau Street,,New York,NY,10038,Friendly Gourmet Pizza,1,1,40.70918,-74.008776,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Pizza
1000650004,1001095,65-4,MANHATTAN,1502,59 Nassau Street,,New York,NY,10038,Sunrise Cleaners,1,1,40.70918,-74.008776,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Dry Cleaning
1000650004,1001095,65-4,MANHATTAN,1502,59 Nassau Street,,New York,NY,10038,Hana,1,1,40.70918,-74.008776,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-Chinese
1000650004,1001095,65-4,MANHATTAN,1502,59 Nassau Street,,New York,NY,10038,Natalie,1,1,40.70918,-74.008776,Battery Park City-Lower Manhattan                                          ,Shopping,S-Apparel: Women's
1000650006,1001096,65-6,MANHATTAN,1502,21 Maiden Lane,,New York,NY,10038,Papa John's Pizza,1,1,40.70926,-74.009082,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Pizza
1000650006,1001096,65-6,MANHATTAN,1502,21 Maiden Lane,,New York,NY,10038,Subway,1,1,40.70926,-74.009082,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Fast Food
1000650007,1001097,65-7,MANHATTAN,1502,15 Maiden Lane,,New York,NY,10038,Atlantic Bank of New York,1,1,40.709482,-74.009356,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Banks and Check Cashing
1000650007,1001097,65-7,MANHATTAN,1502,15 Maiden Lane,,New York,NY,10038,G.D. Jewelry,1,1,40.709482,-74.009356,Battery Park City-Lower Manhattan                                          ,Shopping,S-Jeweler
1000650007,1001097,65-7,MANHATTAN,1502,18 John Street,,New York,NY,10038,Aerosoles,1,1,40.709883,-74.008931,Battery Park City-Lower Manhattan                                          ,Shopping,S-Shoes: Women's
1000650007,1001097,65-7,MANHATTAN,1502,22 John Street,,New York,NY,10038,Optima Beauty Supply,1,1,40.709803,-74.008819,Battery Park City-Lower Manhattan                                          ,Shopping,S-Beauty & Fragrances
1000670001,1079043,67-1,MANHATTAN,1502,59 Maiden Lane,,New York,NY,10006,Zeytuna,1,1,40.708266,-74.008231,Battery Park City-Lower Manhattan                                          ,Shopping,F-Supermarket
1000670023,1001109,67-23,MANHATTAN,1502,33 Maiden Lane,,New York,NY,10038,Godiva Chocolatier,1,1,40.708807,-74.008678,Battery Park City-Lower Manhattan                                          ,Shopping,S-Candy & Chocolate
