average_class_size,borough,core_course_ms_core_and_9_12_only_,core_subject_ms_core_and_9_12_only_,csd,data_source,grade_,number_of_sections,number_of_students_seats_filled,program_type,school_code,school_name,schoolwide_pupil_teacher_ratio,service_category_k_9_only_,size_of_largest_class,size_of_smallest_class
20.0,M,-,-,2,ATS,01,1,20,CTT,M002,P.S. 002 Meyer London,,-,20,20
17.5,M,Economics,SOCIAL STUDIES,1,STARS,09-12,2,35,GEN ED,M515,Lower East Side Preparatory High School,,-,22,13
21.7,M,Participation in Government,SOCIAL STUDIES,1,STARS,09-12,3,65,GEN ED,M515,Lower East Side Preparatory High School,,-,28,17
29.0,M,Other Social Studies,SOCIAL STUDIES,1,STARS,09-12,4,116,GEN ED,M515,Lower East Side Preparatory High School,,-,33,20
,M,,,1,,,,,,M515,Lower East Side Preparatory High School,16.7,,,
25.5,M,-,-,1,ATS,0K,4,102,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,26,25
25.3,M,-,-,1,ATS,01,4,101,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,26,24
25.0,M,-,-,1,ATS,01,1,25,G&T,M539,"New Explorations into Science, Technology and Math High School",,-,25,25
25.3,M,-,-,1,ATS,02,4,101,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,26,24
23.2,M,-,-,1,ATS,03,5,116,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,24,22
27.0,M,-,-,1,ATS,04,3,81,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,27,27
27.0,M,-,-,1,ATS,04,1,27,G&T,M539,"New Explorations into Science, Technology and Math High School",,-,27,27
25.5,M,-,-,1,ATS,05,2,51,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,26,25
25.0,M,-,-,1,ATS,05,1,25,G&T,M539,"New Explorations into Science, Technology and Math High School",,-,25,25
13.5,M,-,-,1,ATS,06,10,135,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,16,12
14.9,M,-,-,1,ATS,07,8,119,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,18,11
14.0,M,-,-,1,ATS,08,6,84,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,19,11
14.5,M,-,-,1,ATS,08,4,58,G&T,M539,"New Explorations into Science, Technology and Math High School",,-,18,13
21.8,M,English 9,ENGLISH,1,STARS,09-12,6,131,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,31,16
30.6,M,English 10,ENGLISH,1,STARS,09-12,5,153,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,21
27.7,M,English 11,ENGLISH,1,STARS,09-12,6,166,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,23
25.4,M,English 12,ENGLISH,1,STARS,09-12,5,127,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,19
12.5,M,Other English,ENGLISH,1,STARS,09-12,2,25,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,13,12
25.1,M,Integrated Algebra,MATH,1,STARS,09-12,7,176,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,32,15
28.4,M,Geometry,MATH,1,STARS,09-12,9,256,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,22
26.3,M,Trigonometry,MATH,1,STARS,09-12,9,237,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,20
22.8,M,Other Math,MATH,1,STARS,09-12,6,137,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,28,16
28.8,M,Earth Science,SCIENCE,1,STARS,09-12,4,115,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,31,24
25.4,M,Living Environment,SCIENCE,1,STARS,09-12,10,254,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,31,18
24.9,M,Chemistry,SCIENCE,1,STARS,09-12,8,199,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,29,17
21.0,M,Physics,SCIENCE,1,STARS,09-12,11,231,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,33,14
19.8,M,Other Science,SCIENCE,1,STARS,09-12,6,119,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,12
26.7,M,Global History & Geography,SOCIAL STUDIES,1,STARS,09-12,11,294,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,14
29.0,M,US History & Government,SOCIAL STUDIES,1,STARS,09-12,6,174,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,33,24
33.5,M,Economics,SOCIAL STUDIES,1,STARS,09-12,2,67,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,33
30.5,M,Participation in Government,SOCIAL STUDIES,1,STARS,09-12,2,61,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,34,27
24.5,M,Other Social Studies,SOCIAL STUDIES,1,STARS,09-12,2,49,GEN ED,M539,"New Explorations into Science, Technology and Math High School",,-,26,23
,M,,,1,,,,,,M539,"New Explorations into Science, Technology and Math High School",16.4,,,
25.0,M,English 10,ENGLISH,1,STARS,09-12,2,50,GEN ED,M650,Cascades High School,,-,25,25
23.0,M,English 11,ENGLISH,1,STARS,09-12,4,92,GEN ED,M650,Cascades High School,,-,25,19
20.0,M,English 12,ENGLISH,1,STARS,09-12,6,120,GEN ED,M650,Cascades High School,,-,28,12
18.7,M,Other English,ENGLISH,1,STARS,09-12,3,56,GEN ED,M650,Cascades High School,,-,21,17
20.0,M,Integrated Algebra,MATH,1,STARS,09-12,2,40,GEN ED,M650,Cascades High School,,-,25,15
22.0,M,Geometry,MATH,1,STARS,09-12,4,88,GEN ED,M650,Cascades High School,,-,28,13
20.0,M,Other Math,MATH,1,STARS,09-12,3,60,GEN ED,M650,Cascades High School,,-,24,16
18.5,M,Earth Science,SCIENCE,1,STARS,09-12,2,37,GEN ED,M650,Cascades High School,,-,20,17
26.0,M,Living Environment,SCIENCE,1,STARS,09-12,1,26,GEN ED,M650,Cascades High School,,-,26,26
19.3,M,Chemistry,SCIENCE,1,STARS,09-12,3,58,GEN ED,M650,Cascades High School,,-,22,15
22.5,M,Other Science,SCIENCE,1,STARS,09-12,2,45,GEN ED,M650,Cascades High School,,-,23,22
24.7,M,Global History & Geography,SOCIAL STUDIES,1,STARS,09-12,3,74,GEN ED,M650,Cascades High School,,-,29,22
