ferry	4	(4,9,6,5)
road	4	(6,5,9,4)
pearl	4	(7,4,6,5)
plant	4	(6,4,5,9)
tribeca	4	(4,7,5,9)
store	4	(7,3,4,5)
row	4	(7,4,6,9)
163	4	(2,4,1,5)
henry	4	(2,4,6,5)
6th	4	(4,5,6,9)
lower	4	(7,4,2,9)
ave	4	(5,9,6,4)
end	4	(4,6,9,5)
high	4	(2,4,6,9)
20th	4	(6,5,7,4)
saint	4	(2,6,5,4)
198	4	(4,2,6,1)
st	4	(9,5,4,6)
stuyvesant	4	(4,6,5,9)
cross	4	(5,6,3,9)
222	4	(4,6,7,1)
open	4	(5,3,4,7)
pier	4	(4,9,6,5)
college	4	(2,6,9,5)
227	4	(4,2,5,9)
264	4	(1,4,2,6)
law	4	(4,3,7,5)
215	4	(4,6,9,1)
9th	4	(4,5,6,7)
point	4	(4,9,5,6)
h	4	(7,4,6,5)
bank	4	(7,4,3,5)
342	4	(4,5,9,1)
223	4	(4,5,9,1)
ice	4	(5,3,7,9)
terminal	4	(4,9,5,6)
line	4	(4,9,3,5)
parks	4	(4,9,6,3)
231	4	(5,4,2,1)
staten	4	(9,5,6,3)
lafayette	4	(9,4,6,5)
museum	4	(6,4,9,7)
219	4	(5,4,9,1)
j	4	(5,4,7,6)
area	4	(5,4,3,9)
george	4	(6,4,5,9)
state	4	(3,7,4,9)
173	4	(4,9,1,7)
grand	4	(5,4,6,9)
public	4	(3,4,5,6)
268	3	(4,6,2)
general	3	(3,7,4)
620	3	(4,5,1)
289	3	(4,1,2)
wall	3	(7,9,5)
control	3	(6,3,4)
la	3	(5,4,7)
warren	3	(6,9,4)
smoke	3	(5,7,3)
from	3	(3,5,7)
10035	3	(4,5,6)
04	3	(5,2,6)
1007	3	(4,6,5)
international	3	(2,5,7)
police	3	(3,4,6)
8th	3	(5,6,4)
dekalb	3	(6,5,9)
mott	3	(5,6,4)
empire	3	(5,4,6)
studio	3	(2,6,7)
h.	3	(6,4,2)
each	3	(5,3,9)
309	3	(4,1,7)
kitchen	3	(5,7,4)
152	3	(4,1,5)
penn	3	(6,5,4)
grove	3	(4,9,5)
282	3	(4,1,2)
735	3	(6,1,4)
that	3	(3,5,4)
life	3	(5,9,4)
151	3	(4,1,9)
crescent	3	(6,5,9)
196	3	(4,1,2)
148	3	(4,1,5)
10012	3	(5,4,7)
10027	3	(4,5,6)
moore	3	(4,5,9)
bayard	3	(2,9,4)
precinct	3	(3,6,4)
dr	3	(6,5,9)
350	3	(4,6,1)
neighborhood	3	(2,4,9)
dhs	3	(3,4,6)
amsterdam	3	(4,5,6)
245	3	(4,6,5)
force	3	(5,6,3)
art	3	(7,6,5)
bedford	3	(5,9,6)
liberty	3	(7,5,4)
port	3	(3,5,6)
services	3	(7,3,6)
train	3	(9,3,4)
273	3	(1,4,5)
lillian	3	(8,6,4)
525	3	(4,6,5)
iron	3	(5,7,4)
flushing	3	(9,6,5)
food	3	(5,7,3)
x	3	(5,4,6)
343	3	(5,1,4)
7th	3	(5,6,4)
between	3	(6,9,4)
666	3	(1,5,4)
animal	3	(3,4,5)
midtown	3	(4,2,6)
329	3	(5,6,4)
53rd	3	(6,5,4)
gardens	3	(9,7,4)
environmental	3	(3,6,9)
angel	3	(8,5,7)
384	3	(5,9,4)
638	3	(5,1,4)
1001	3	(4,7,5)
10002	3	(4,5,6)
rd	3	(9,5,6)
has	3	(3,4,5)
slip	3	(4,5,7)
richmond	3	(6,5,9)
jay	3	(9,5,4)
courts	3	(3,9,4)
time	3	(5,3,7)
inspection	3	(5,6,3)
172	3	(4,1,6)
branch	3	(4,6,3)
courthouse	3	(4,6,9)
159	3	(4,1,6)
260	3	(4,6,1)
red	3	(5,9,7)
credit	3	(3,5,7)
294	3	(4,1,2)
625	3	(5,9,4)
castle	3	(6,5,4)
t	3	(5,7,6)
any	3	(4,5,3)
710	3	(1,5,4)
indian	3	(5,7,9)
hylan	3	(6,5,9)
500	3	(4,5,6)
clemente	3	(2,6,4)
ii	3	(5,4,7)
2001	3	(4,6,9)
tremont	3	(5,9,6)
524	3	(4,6,5)
criminal	3	(6,3,4)
northern	3	(5,6,9)
731	3	(1,4,6)
391	3	(4,1,5)
pool	3	(9,4,5)
pitkin	3	(5,6,9)
education	3	(2,3,4)
443	3	(6,5,4)
2009	3	(1,4,5)
rockaway	3	(5,9,6)
personal	3	(7,5,3)
running	3	(3,5,9)
t.	3	(2,6,4)
better	3	(3,5,9)
educational	3	(4,6,3)
454	3	(6,4,2)
council	3	(4,9,7)
1900	3	(4,5,6)
10005	3	(7,4,5)
254	3	(4,5,2)
chrystie	3	(9,4,5)
houston	3	(6,4,5)
734	3	(4,2,1)
whitehall	3	(7,9,4)
dep	3	(3,4,6)
10029	3	(4,5,6)
douglas	3	(9,5,4)
town	3	(5,4,6)
211	3	(1,6,3)
323	3	(4,1,2)
k	3	(6,5,2)
10013	3	(4,5,7)
parkway	3	(5,6,4)
indoor	3	(9,4,3)
apple	3	(7,5,4)
232	3	(1,9,4)
heights	3	(9,6,4)
401	3	(4,5,7)
63rd	3	(4,6,5)
acs	3	(4,3,6)
atlantic	3	(5,6,7)
728	3	(1,5,4)
626	3	(5,1,4)
jacob	3	(2,9,4)
elementary	3	(4,6,2)
corporation	3	(3,4,7)
grocery	3	(5,3,7)
311	3	(3,4,1)
10006	3	(7,4,5)
374	3	(4,5,1)
360	3	(6,5,4)
foot	3	(4,3,7)
393	3	(4,5,1)
less	3	(5,3,7)
care	3	(3,4,6)
french	3	(5,7,9)
2nd	3	(7,5,6)
lexington	3	(4,5,9)
energy	3	(6,3,7)
08	3	(5,6,2)
theatre	3	(4,5,9)
forest	3	(9,5,6)
314	3	(4,5,1)
civil	3	(6,3,4)
1500	3	(4,6,5)
morris	3	(5,4,9)
m.	3	(5,9,4)
405	3	(4,5,1)
117	3	(4,1,5)
639	3	(1,9,4)
42nd	3	(6,5,4)
outdoor	3	(9,4,3)
device	3	(5,3,7)
national	3	(3,7,5)
dsny	3	(6,3,9)
upper	3	(4,6,7)
straus	3	(2,6,4)
on	3	(5,3,7)
u	3	(5,4,9)
cultural	3	(4,6,7)
secondary	3	(2,6,7)
30th	3	(6,5,7)
municipal	3	(4,6,7)
lincoln	3	(4,9,5)
industries	3	(6,7,4)
/	3	(5,6,4)
district	3	(6,3,4)
children's	3	(2,3,4)
christopher	3	(6,4,7)
430	3	(4,6,9)
drive	3	(4,5,9)
577	3	(4,6,5)
363	3	(5,1,4)
171	3	(4,5,1)
construction	3	(3,6,7)
arts	3	(2,6,4)
555	3	(4,5,9)
contact	3	(5,3,4)
340	3	(4,5,1)
ctr	3	(4,6,9)
system	3	(6,5,3)
vision	3	(7,6,9)
cleaning	3	(5,7,3)
162	3	(4,1,5)
boro	3	(4,6,5)
hospital	3	(3,4,6)
latitude	3	(7,4,9)
j.	3	(6,9,4)
bar	3	(5,7,3)
reade	3	(7,9,4)
10007	3	(7,4,5)
bronxwood	3	(6,9,5)
leonard	3	(6,4,9)
679	3	(1,4,5)
502	3	(6,4,5)
lots	3	(5,9,4)
10038	3	(7,4,5)
226	3	(4,5,1)
inc	3	(5,7,4)
rose	3	(7,5,9)
34th	3	(5,6,9)
230	3	(4,1,5)
head	3	(6,3,9)
fire	3	(4,3,6)
2017	3	(5,4,9)
housing	3	(3,6,4)
sara	3	(8,4,9)
277	3	(4,2,9)
subway	3	(3,7,5)
243	3	(4,1,5)
zone	3	(3,7,6)
720	3	(1,4,6)
344	3	(4,2,5)
broad	3	(7,4,5)
644	3	(4,5,1)
1025	3	(4,6,5)
256	3	(1,4,2)
human	3	(3,6,4)
italy	3	(7,4,5)
445	3	(4,6,1)
corona	3	(9,5,6)
09	3	(2,6,5)
james	3	(4,6,9)
andrews	3	(6,7,4)
214	3	(4,7,1)
korean	3	(5,7,9)
557	3	(6,2,9)
